Lon/X,Lat/Y,Hei/H
-0.628752379,52.05825584,99.96139272
-0.628459608,52.05825584,100.4030405
-0.628166838,52.05825584,100.9139494
-0.627874068,52.05825584,101.6461692
-0.627581298,52.05825584,102.1532755
-0.627288528,52.05825584,102.5834348
-0.626995758,52.05825584,103.0387102
-0.626702988,52.05825584,103.5580432
-0.626410218,52.05825584,103.9885878
-0.626117448,52.05825584,103.9213525
-0.625824678,52.05825584,103.6974763
-0.625531908,52.05825584,103.476586
-0.625239137,52.05825584,103.6585912
-0.624946367,52.05825584,103.8086198
-0.624653597,52.05825584,103.9224296
-0.624360827,52.05825584,103.91591
-0.624068057,52.05825584,103.8330002
-0.623775287,52.05825584,103.7422175
-0.623482517,52.05825584,103.9634836
-0.623189747,52.05825584,104.2472457
-0.622896977,52.05825584,104.5680884
-0.622604207,52.05825584,104.8312916
-0.622311436,52.05825584,105.1782923
-0.622018666,52.05825584,105.5716249
-0.621725896,52.05825584,105.6832165
-0.621433126,52.05825584,105.7633113
-0.621140356,52.05825584,105.817789
-0.620847586,52.05825584,105.8994871
-0.620554816,52.05825584,105.9499129
-0.620262046,52.05825584,105.9711668
-0.619969276,52.05825584,106.0055889
-0.619676506,52.05825584,107.7292881
-0.619383735,52.05825584,111.2077392
-0.619090965,52.05825584,111.2939618
-0.618798195,52.05825584,111.2188676
-0.618505425,52.05825584,111.0486011
-0.618212655,52.05825584,111.160177
-0.617919885,52.05825584,111.2006331
-0.617627115,52.05825584,111.1309346
-0.617334345,52.05825584,111.2188036
-0.617041575,52.05825584,111.1945967
-0.616748805,52.05825584,110.9913795
-0.616456035,52.05825584,111.1229868
-0.616163264,52.05825584,111.3592322
-0.615870494,52.05825584,111.7019544
-0.615577724,52.05825584,111.8703933
-0.615284954,52.05825584,111.9312629
-0.614992184,52.05825584,111.8454683
-0.614699414,52.05825584,111.9142797
-0.614406644,52.05825584,112.0400475
-0.614113874,52.05825584,112.2234073
-0.613821104,52.05825584,111.9880677
-0.613528334,52.05825584,111.7957402
-0.613235563,52.05825584,111.912568
-0.612942793,52.05825584,111.7478175
-0.612650023,52.05825584,111.5140832
-0.612357253,52.05825584,111.293136
-0.612064483,52.05825584,111.2855138
-0.611771713,52.05825584,111.3405635
-0.611478943,52.05825584,111.3877796
-0.611186173,52.05825584,111.4035677
-0.654516146,52.05843585,74.95576507
-0.654223375,52.05843585,75.27159581
-0.653930603,52.05843585,75.26456532
-0.653637832,52.05843585,75.08868648
-0.653345061,52.05843585,74.99639746
-0.65305229,52.05843585,74.98905869
-0.652759518,52.05843585,75.41239369
-0.652466747,52.05843585,75.89516925
-0.652173976,52.05843585,76.43655776
-0.651881204,52.05843585,76.81979707
-0.651588433,52.05843585,77.07874664
-0.651295662,52.05843585,77.19055203
-0.651002891,52.05843585,77.05876252
-0.650710119,52.05843585,77.19455421
-0.650417348,52.05843585,77.73076124
-0.650124577,52.05843585,77.9593519
-0.649831805,52.05843585,78.18564649
-0.649539034,52.05843585,78.45976313
-0.649246263,52.05843585,78.76868009
-0.648953492,52.05843585,78.9678309
-0.64866072,52.05843585,78.96642605
-0.648367949,52.05843585,79.11626337
-0.648075178,52.05843585,79.39257734
-0.647782407,52.05843585,79.86516819
-0.647489635,52.05843585,80.25454614
-0.647196864,52.05843585,80.62409101
-0.646904093,52.05843585,80.98905392
-0.646611321,52.05843585,81.38899312
-0.64631855,52.05843585,81.70271755
-0.646025779,52.05843585,81.77716513
-0.645733008,52.05843585,82.10830378
-0.645440236,52.05843585,82.553877
-0.645147465,52.05843585,83.10953019
-0.644854694,52.05843585,83.78749653
-0.644561922,52.05843585,84.53023751
-0.644269151,52.05843585,85.34882443
-0.64397638,52.05843585,86.1885287
-0.643683609,52.05843585,86.96726136
-0.643390837,52.05843585,87.47749844
-0.643098066,52.05843585,87.88055212
-0.642805295,52.05843585,88.27406994
-0.642512524,52.05843585,88.84331817
-0.642219752,52.05843585,89.24959313
-0.641926981,52.05843585,89.57158569
-0.64163421,52.05843585,89.88064136
-0.641341438,52.05843585,90.27912845
-0.641048667,52.05843585,90.70304327
-0.640755896,52.05843585,90.95230428
-0.640463125,52.05843585,91.38117188
-0.640170353,52.05843585,91.90986119
-0.639877582,52.05843585,92.31317892
-0.639584811,52.05843585,92.64028562
-0.639292039,52.05843585,92.89727602
-0.638999268,52.05843585,92.946928
-0.638706497,52.05843585,92.9555287
-0.638413726,52.05843585,92.92590205
-0.638120954,52.05843585,92.77453577
-0.637828183,52.05843585,92.69193211
-0.637535412,52.05843585,92.66472657
-0.63724264,52.05843585,92.40055575
-0.636949869,52.05843585,92.49718321
-0.636657098,52.05843585,92.94507588
-0.636364327,52.05843585,93.3657328
-0.636071555,52.05843585,93.71907367
-0.635778784,52.05843585,93.99975465
-0.635486013,52.05843585,94.40701189
-0.635193242,52.05843585,94.90053614
-0.63490047,52.05843585,95.49269734
-0.634607699,52.05843585,95.8874897
-0.634314928,52.05843585,96.30962851
-0.634022156,52.05843585,96.78511998
-0.633729385,52.05843585,97.26269926
-0.633436614,52.05843585,97.62612979
-0.633143843,52.05843585,97.81868888
-0.632851071,52.05843585,98.07059344
-0.6325583,52.05843585,98.39780804
-0.632265529,52.05843585,98.8382858
-0.631972757,52.05843585,99.15805052
-0.631679986,52.05843585,99.38756981
-0.631387215,52.05843585,99.48445558
-0.631094444,52.05843585,99.51575387
-0.630801672,52.05843585,99.61181292
-0.630508901,52.05843585,99.87188963
-0.63021613,52.05843585,99.79078477
-0.629923359,52.05843585,99.62104699
-0.629630587,52.05843585,99.43282645
-0.629337816,52.05843585,99.42843179
-0.629045045,52.05843585,99.59181113
-0.628752273,52.05843585,100.0722976
-0.628459502,52.05843585,100.5192754
